"EmployeeID";"EmployeeFirstName";"EmployeeLastName";"EmployeeTitle";"EmployeeAddress";"EmployeeCity";"State";"EmployeeZip";"EmployeeHomePhone";"EmployeeCellPhone";"EmployeeEmail";"Region";"DepartmentID";"StartDate";"EndDate";"Social";"Status";"Exemptions";"PayRate(Hourly)";"eeImage"
5;"James";"Bassett";"Administrative Assistant";"9845 43rd Ave., Apt. 23-102";"New York";"NY";"10001-5656";"(212) 451-1421";"(212) 652-3121";"jamesbassett@givetotheneedy.com";2;"05-HmnRsc";"08/23/2014";"";"965-41-3245";1;1;36.5;"src/resources/Kermit.jpg"
6;"Charlotte";"Harper";"Administrative Assistant";"2136 88th Ave., Apt. 34-A";"Coco Beach";"FL";"32501-2301";"(305) 421-6321";"(305) 894-6123";"charletteharper@givetotheneedy.com";3;"07-PR";"9/05/2013";"";"956-31-7456";2;10;27.56;"src/resources/MissPiggy.jpg"
7;"William";"Jones";"Accountant I";"10236 S. Houston St., Apt. 200-B";"New York";"NY";"10001-0000";"(212) 459-2314";"(212) 657-4213";"billjones@givetotheneedy.com";1;"03-Fnc";"01/23/2012";"";"964-12-3596";1;10;36.4;"src/resources/Kermit.jpg"
8;"Elijah";"Goldman";"Accountant II";"21369 Friendly St.";"Portland";"OR";"97201-0000";"(503) 212-4569";"(503) 214-7986";"elijahgoldman@givetotheneedy.com";5;"03-Fnc";"04/25/2013";"";"956-32-1459";2;2;43.12;"src/resources/Kermit.jpg"
9;"Madison";"Findley";"Accountant III";"9874 Green Trail Cir.";"Dallas";"TX";"75124-5632";"(214) 895-2314";"(214) 895-6412";"madisonfindley@givetotheneedy.com";4;"03-Fnc";"03/18/2014";"";"125-61-4895";1;1;47.4656;"src/resources/MissPiggy.jpg"
10;"James";"Killington";"Accountant I";"2698 Prescott Ave.";"Dallas";"TX";"75001-2356";"(214) 956-3214";"(972) 932-5612";"jameskilllington@givetotheneedy.com";4;"03-Fnc";"10/21/2015";"";"562-32-6912";1;10;37.4752;"src/resources/Kermit.jpg"
11;"Aubrey";"Yayah";"Accountant II";"9632 Sunbelt Cir.";"Pheonix";"AZ";"85001-2360";"(480) 562-3014";"(480) 561-6513";"audreyyayah@givetotheneedy.com";6;"03-Fnc";"07/26/2015";"";"659-87-4123";1;10;44.8;"src/resources/MissPiggy.jpg"
12;"David";"Simms";"Accountant III";"1423 Coco Beach Blvd.";"Coco Beach";"FL";"33124-0000";"(239) 654-7891";"(239) 652-1332";"davidsimms@givetotheneedy.com";3;"03-Fnc";"09/18/2015";"";"562-96-5321";2;10;47.208;"src/resources/Kermit.jpg"
14;"Sophia";"Rodriguez";"Manager";"3269 Snow White Cir.";"Dallas";"TX";"75124-";"(214) 678-9652";"(214) 521-3032";"sophiarodriguez@givetotheneedy.com";4;"06-Sls";"03/01/2012";"";"569-35-6521";1;1;38.5;"src/resources/MissPiggy.jpg"
15;"Daniel";"Fitzpatrick";"Manager";"3695 Cloudy Lane";"Portland";"OR";"97201-0000";"(500) 365-1234";"(500) 555-3598";"danielfitzpatrick@givetotheneedy.com";5;"06-Sls";"10/5/2013";"";"569-87-4663";2;3;57.7;"src/resources/Kermit.jpg"
16;"Victoria";"Goldberg";"Manager";"3457 Beach Front Ave.";"Coco Beach";"FL";"32501-3215";"(239) 659-8945";"(239) 659-1326";"victoriagoldberg@givetotheneedy.com";3;"06-Sls";"06/21/2015";"";"231-56-3269";3;3;55.25;"src/resources/MissPiggy.jpg"
17;"Madison";"Gudmundson";"Comptroller";"2364 Park Ave.";"New York";"NY";"10001-0000";"(212) 653-2691";"(212) 456-9832";"madiosngudmundson@givetotheneedy.com";1;"03-Fnc";"12/01/2015";"";"659-32-4568";2;2;60.704;"src/resources/MissPiggy.jpg"
18;"Jack";"Knightly";"Sales Representative";"5693 Silly Cir.";"Livinstong";"NJ";"07039-";"(201) 569-8412";"(201) 569-2314";"jackknightly@givetotheneedy.com";2;"06-Sls";"04/05/2013";"";"569-85-1326";2;1;56.89;"src/resources/Kermit.jpg"
19;"Ella";"Jenkins";"Sales Representative";"2356 Sunset Blvd.";"Coco Beach";"FL";"32501-0000";"(239) 561-2345";"(239) 651-2348";"ellajenkins@givetotheneedy.com";3;"06-Sls";"12/9/2012";"";"659-87-3265";3;2;62.0;"src/resources/MissPiggy.jpg"
20;"Aaron";"Nash";"Sales Representative";"2356 Rt. Rd.";"Crandal";"TX";"75142-0000";"(972) 546-8979";"(214) 564-9879";"aaronnash@givetotheneedy.com";4;"06-Sls";"08/18/2012";"";"659-78-4561";3;10;54.25;"src/resources/Kermit.jpg"
21;"Barry";"Lischous";"Sales Representative";"5698 Happy Trail";"Pheonix";"AZ";"85001-0000";"(480) 580-1078";"(480) 512-6323";"barrylicous@givetotheneedy.com";6;"06-Sls";"03/27/2016";"";"569-87-5613";1;1;49.89;"src/resources/Kermit.jpg"
22;"Jason";"Ryan";"Sales Representative";"5612 Dark Horse Cir.";"Portland";"OR";"97201-";"(503) 213-4567";"(503) 651-7895";"jasonryan@givetotheneedy.com";5;"06-Sls";"07/21/2012";"";"123-45-6789";2;10;56.89;"src/resources/Kermit.jpg"
23;"Tracey";"Patrick";"IT Tech";"5646 Cleveland Ln.";"Cheyenne";"WY";"82001-";"(307) 569-8789";"(307) 567-8789";"traceypatrick@givetotheneedy.com";1;"10-IT";"06/04/2014";"";"123-56-7894";3;3;89.99;"src/resources/MissPiggy.jpg"
24;"Charlotte";"Scott";"Director of Finance";"2121 Park Ave.";"New York";"NY";"10001-";"(212) 123-4565";"(212) 231-6545";"charlottescott@givetotheneedy.com";1;"03-Fnc";"05/07/2014";"";"123-45-6888";1;10;58.0;"src/resources/MissPiggy.jpg"
25;"Lance";"Armstrong";"Director of Marketing";"2369 Park Ave.";"New York";"NY";"10001-";"(212) 123-4561";"(212) 456-1237";"lancearmstrong@givetotheneedy.com";1;"04-MktPlng";"09/06/2012";"";"123-98-4567";1;10;52.0;"src/resources/Kermit.jpg"
26;"Heather";"Wright";"Director of Human Resources";"4871 Park Ave.";"New York";"NY";"10001-";"(212) 568-9414";"(212) 568-7894";"heatherwright@givetotheneedy.com";1;"05-HmnRsc";"08/19/2015";"";"123-89-4567";2;1;39.0;"src/resources/MissPiggy.jpg"
27;"Simmon";"Coell";"Director of Operations";"9812 S Houston Rd.";"";"NY";"10001-";"(212) 454-3265";"(212) 454-3698";"simmoncoell@givetotheneedy.com";1;"08-Op";"07/06/2013";"";"123-75-4689";2;3;41.85;"src/resources/Kermit.jpg"
28;"Jason";"Bourne";"Director of Sales Central Region";"89143 Montecito Blvd.";"Dallas";"TX";"75142-";"(214) 564-7891";"(214) 565-7892";"jasonbourne@givetotheneedy.com";4;"06-Sls";"01/10/2011";"";"456-12-7891";2;10;42.0;"src/resources/Kermit.jpg"
29;"Dana";"Goldberb";"Director of Sales Southeast Region";"6598 Sunrise Place";"Coco Beach";"FL";"32501-";"(239) 123-5698";"(239) 231-5689";"danagoldberg@givetotheneedy.com";3;"06-Sls";"11/03/2012";"";"123-89-4567";2;10;48.13;"src/resources/MissPiggy.jpg"
30;"Jerry";"Seinfeld";"Director of Sales Northeast Region";"52637 Park Ave.";"New York";"NY";"10001-";"(212) 658-9561";"(212) 654-7891";"jerryseinfeld@givetotheneedy.com";2;"06-Sls";"07/23/2014";"";"145-23-7891";1;3;54.65;"src/resources/Kermit.jpg"
31;"Nathan";"Gould";"Director of Sales Northwest Region";"2314 Cloudy Street";"New York";"NY";"10001-";"(212) 234-5678";"(212) 234-6541";"nathangould@givetotheneedy.com";5;"06-Sls";"03/14/2015";"";"123-89-4567";1;10;53.25;"src/resources/Kermit.jpg"
32;"Henry";"Cash";"Director of Sales Southwest Region";"5645 Happy Trails Ln";"Pheonix";"AZ";"85001-";"(480) 552-1346";"(480) 552-3164";"henrycash@givetotheneedy.com";6;"06-Sls";"03/26/2013";"";"122-34-6598";1;10;56.23;"src/resources/Kermit.jpg"
